API,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.27-12-WORL-QBTU.A,        Nuclear (quad Btu),4.217529018,4.73402455,5.124567215,5.552884827,6.521819098,7.633691149,8.149609339,8.848625304,9.917414806,10.08983669,10.65361664,11.14910553,11.25006372,11.43557432,11.76469751,12.3234056,12.60840092,12.20684793,12.67656757,13.29480857,13.65447149,13.9982325,14.17503457,13.94975826,14.4735179,14.45470524,14.60930097,14.61136166,14.54927538,14.38358346,14.67154949,14.17590728,13.45629661,13.63293803,13.88331553,13.97974822,14.17774132,14.26250952,14.4518566,14.82578054,14.40204678,14.58980858,14.26198422,NA
INTL.29-12-WORL-QBTU.A,        Renewables (quad Btu),5.988270465,6.07596156,6.259124747,6.549103602,6.782681531,6.856944777,7.009208654,7.044972078,7.315807726,7.890622545,8.360685271,8.555256861,8.680744732,9.127070272,9.261740978,9.689194812,9.871007315,10.09350283,10.14105738,10.33731822,10.51517235,10.3957047,10.81720968,10.81937788,11.31857327,11.87944402,12.40606575,12.72653688,13.47533491,13.97974652,15.05959057,15.8001217,16.94155821,18.08582019,18.93267734,19.62267211,20.90459315,22.12554834,23.53763023,24.64051299,26.27601269,27.65906689,29.83140892,NA
INTL.33-12-WORL-QBTU.A,            Hydroelectricity (quad Btu),5.877606753,5.960164239,6.108454409,6.387442769,6.598584445,6.660659654,6.796227452,6.810040381,7.070497655,7.030173156,7.316981688,7.448454108,7.468097577,7.894605761,7.972626406,8.371744273,8.495906997,8.684893186,8.708113075,8.835672158,8.957457509,8.772058728,8.927490037,8.947820312,9.520319986,9.927987886,10.2850558,10.38655879,10.84802197,11.04683837,11.64662314,11.8512214,12.40939408,12.85139103,13.09250296,13.14381484,13.61101991,13.75963122,14.18239284,14.2960755,14.74790835,14.54233227,14.85148104,NA
INTL.34-12-WORL-QBTU.A,            Non-hydroelectric renewables (quad Btu),0.110663712,0.115797321,0.150670338,0.161660833,0.184097086,0.196285124,0.212981203,0.234931697,0.245310071,0.860449388,1.043703583,1.106802753,1.212647156,1.232464511,1.289114572,1.317450539,1.375100318,1.408609644,1.432944302,1.50164606,1.557714839,1.623645972,1.889719646,1.871557567,1.798253279,1.951456137,2.121009957,2.339978093,2.627312941,2.93290815,3.412967427,3.948900305,4.53216413,5.234429164,5.840174378,6.478857269,7.293573247,8.365917124,9.355237387,10.3444375,11.52810434,13.11673463,14.97992788,NA
INTL.35-12-WORL-QBTU.A,                Geothermal (quad Btu),0.045517521,0.050322014,0.053617247,0.060756078,0.069383111,0.076273155,0.085250053,0.091730118,0.092850622,0.121123856,0.132011853,0.137016467,0.141694404,0.145802734,0.145931654,0.144203579,0.1536187,0.159609426,0.169851192,0.182145003,0.195971022,0.196507175,0.20047181,0.209979714,0.21982203,0.226284148,0.233945071,0.247304267,0.261566739,0.275870462,0.280227966,0.286903259,0.290733891,0.295005345,0.310897949,0.323563588,0.330222164,0.338359995,0.350457942,0.356315236,0.366808126,0.36898448,0.377580702,NA
INTL.36-12-WORL-QBTU.A,"                Solar, tide, wave, fuel cell (quad Btu)",0.001603707,0.001808435,0.001944921,0.001945091,0.001993706,0.002063253,0.002078442,0.001998138,0.001955818,0.054453826,0.058125553,0.060221049,0.063250105,0.065230331,0.066876532,0.068204941,0.068833824,0.06936699,0.069098328,0.06771112,0.063237383,0.061551763,0.060907038,0.060906289,0.062204468,0.064840462,0.071738108,0.080293951,0.098885327,0.127620592,0.17204746,0.286087079,0.416828785,0.559601264,0.744485132,0.925286999,1.187478921,1.567036816,1.999558022,2.458548421,2.97986251,3.607454392,4.435346054,NA
INTL.117-12-WORL-QBTU.A,                    Tide and wave (quad Btu),0.001603707,0.001808435,0.001944921,0.001944921,0.001972218,0.0020234,0.0020234,0.001958569,0.001917624,0.001897151,0.002033636,0.002101879,0.00316988,0.003231298,0.003087988,0.00333025,0.003190352,0.004422136,0.004599567,0.004336832,0.001839144,0.001764077,0.001794786,0.00178455,0.001709483,0.00173678,0.001671949,0.001692422,0.001678774,0.001938096,0.002419208,0.002750186,0.00328248,0.003159643,0.003408729,0.003432273,0.003503928,0.003520648,0.003428861,0.003407706,0.003371196,0.003324108,0.003530141,NA
INTL.116-12-WORL-QBTU.A,                    Solar (quad Btu),0,0,0,1.71E-07,2.14877E-05,3.98527E-05,5.50425E-05,3.95684E-05,3.81945E-05,0.052556676,0.056091917,0.058119169,0.060080225,0.061999033,0.063788543,0.064874691,0.065643471,0.064944854,0.064498761,0.063374288,0.061398238,0.059787686,0.059112252,0.059121738,0.060494985,0.063103682,0.070066158,0.078601529,0.097206553,0.125682496,0.169628251,0.283336893,0.413546305,0.55644162,0.741076402,0.921854726,1.183974992,1.563516169,1.996129161,2.455140715,2.976491314,3.604130283,4.431815913,NA
INTL.37-12-WORL-QBTU.A,                Wind (quad Btu),3.75336E-05,3.75336E-05,6.48307E-05,0.000111467,0.000151805,0.000217563,0.000478342,0.000677451,0.001156275,0.008987087,0.012295598,0.013978958,0.015736582,0.018964004,0.024854963,0.02707668,0.031694557,0.041402606,0.054960611,0.072597669,0.106832205,0.131046204,0.18007151,0.220231568,0.288912357,0.355825328,0.455383512,0.584643504,0.755420184,0.947791485,1.158082634,1.484431438,1.779421861,2.201074907,2.447333819,2.827623111,3.267306594,3.847919342,4.323439823,4.77624182,5.351943884,6.152129158,7.143411351,NA
INTL.38-12-WORL-QBTU.A,                Biomass and waste (quad Btu),0.063504951,0.063629338,0.09504334,0.098848196,0.112568464,0.117731152,0.125174365,0.140525991,0.149347355,0.67588462,0.841270578,0.895586278,0.991966065,1.002467441,1.051451423,1.077965339,1.120953237,1.138230623,1.13903417,1.179192267,1.191674229,1.23454083,1.448269288,1.380439996,1.227314424,1.304506199,1.359943267,1.427736371,1.511440691,1.581625612,1.802609366,1.891478529,2.045179592,2.178747648,2.337457478,2.402383571,2.508565569,2.61260097,2.681781601,2.753332019,2.829489824,2.988166597,3.023589777,NA
INTL.2-3-WORL-QBTU.A,    Imports (quad Btu),0.496572188,0.56809654,0.561450174,0.662057785,0.689317599,0.728373901,0.737488656,0.849341934,0.882194119,0.955600006,0.997832201,0.889461113,1.366384801,1.375616175,1.359286182,1.35722417,1.458415502,1.43412453,1.434736941,1.538192404,1.771894509,1.738128572,1.808736947,1.903630378,1.905462316,2.110416901,2.117902474,2.16244406,2.123599391,2.025369666,2.024275235,2.234631409,2.339835175,2.331575064,2.444557088,2.569546437,2.486332984,2.493852991,2.45157982,2.46630466,2.545361516,2.641646863,2.770517752,NA
INTL.2-4-WORL-QBTU.A,    Exports (quad Btu),0.512249182,0.567105527,0.560988971,0.661888055,0.689467251,0.737404568,0.738274103,0.850278044,0.881174407,0.949650667,0.996480106,0.889487935,1.367512938,1.36709564,1.370382647,1.367678419,1.467913467,1.446511055,1.420642475,1.542459687,1.734605123,1.71231729,1.78340832,1.897431636,1.904018364,2.119590247,2.108896586,2.148172653,2.116539206,1.998322704,2.016452011,2.222240554,2.311968296,2.278930098,2.390171009,2.495125957,2.451217708,2.512733631,2.467777422,2.499120191,2.549700522,2.624931502,2.747927485,NA
INTL.2-23-WORL-QBTU.A,    Net imports (quad Btu),-0.015676994,0.000991013,0.000461203,0.00016973,-0.000149652,-0.009030667,-0.000785448,-0.000936109,0.001019712,0.005949339,0.001352095,-2.68215E-05,-0.001128137,0.008520535,-0.011096465,-0.010454249,-0.009497965,-0.012386525,0.014094466,-0.004267283,0.037289386,0.025811282,0.025328627,0.006198742,0.001443952,-0.009173346,0.009005888,0.014271407,0.007060185,0.027046962,0.007823224,0.012390855,0.027866879,0.052644966,0.054386079,0.07442048,0.035115277,-0.01888064,-0.016197603,-0.032815532,-0.004339006,0.016715361,0.022590267,NA
,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.27-12-AFG-QBTU.A,        Nuclear (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
INTL.29-12-AFG-QBTU.A,        Renewables (quad Btu),0.002426033,0.002460154,0.002412384,0.002545458,0.002582991,0.002627349,0.002432857,0.002579579,0.002538633,0.002559106,0.002579579,0.002330493,0.001613943,0.001603707,0.00159347,0.001405802,0.001231783,0.00109871,0.001023642,0.001023642,0.001064588,0.001699247,0.001893739,0.002149649,0.00192786,0.002013164,0.002173534,0.002552282,0.001849381,0.002648163,0.002563542,0.002031248,0.002518161,0.003019745,0.003412142,0.003528154,0.00361687,0.00371241,0.003292717,0.003036806,0.002330493,0.002377922,0.002393309,NA
INTL.33-12-AFG-QBTU.A,            Hydroelectricity (quad Btu),0.002426033,0.002460154,0.002412384,0.002545458,0.002582991,0.002627349,0.002432857,0.002579579,0.002538633,0.002559106,0.002579579,0.002330493,0.001613943,0.001603707,0.00159347,0.001405802,0.001231783,0.00109871,0.001023642,0.001023642,0.001064588,0.001699247,0.001893739,0.002149649,0.00192786,0.002013164,0.002173534,0.002552282,0.001849381,0.002647822,0.002562518,0.002030224,0.002422621,0.002917381,0.003302953,0.003415554,0.003497445,0.003582749,0.003166467,0.002866199,0.002115528,0.002115528,0.00212155,NA
INTL.34-12-AFG-QBTU.A,            Non-hydroelectric renewables (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41E-07,1.02364E-06,1.02364E-06,9.554E-05,0.000102364,0.000109189,0.000112601,0.000119425,0.000129661,0.000126249,0.000170607,0.000214965,0.000262394,0.000271759,NA
INTL.35-12-AFG-QBTU.A,                Geothermal (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
INTL.36-12-AFG-QBTU.A,"                Solar, tide, wave, fuel cell (quad Btu)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.82E-07,6.82E-07,9.554E-05,0.000102364,0.000109189,0.000112601,0.000119425,0.000129661,0.000126249,0.000170607,0.000214965,0.000262394,0.000271759,NA
INTL.117-12-AFG-QBTU.A,                    Tide and wave (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
INTL.116-12-AFG-QBTU.A,                    Solar (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.82E-07,6.82E-07,9.554E-05,0.000102364,0.000109189,0.000112601,0.000119425,0.000129661,0.000126249,0.000170607,0.000214965,0.000262394,0.000271759,NA
INTL.37-12-AFG-QBTU.A,                Wind (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41E-07,3.41E-07,3.41E-07,0,0,0,0,0,0,0,0,0,0,0,NA
INTL.38-12-AFG-QBTU.A,                Biomass and waste (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
INTL.2-3-AFG-QBTU.A,    Imports (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0.0004265,0.000446972,0.0003412,0.000436736,0.00040944,0.00037532,0.0003412,0.0003412,0.0003412,0.00032414,0.00032414,0.0003412,0.0003412,0.0003412,0.00035826,0.001473984,0.002077908,0.002565824,0.00394086,0.006370204,0.009321584,0.010478252,0.012335062,0.01266125,0.012893607,0.01478249,0.015733756,0.017012232,0.016759744,0.017578283,0.0194484,0.020065313,NA
INTL.2-4-AFG-QBTU.A,    Exports (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
INTL.2-23-AFG-QBTU.A,    Net imports (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0.0004265,0.000446972,0.0003412,0.000436736,0.00040944,0.00037532,0.0003412,0.0003412,0.0003412,0.00032414,0.00032414,0.0003412,0.0003412,0.0003412,0.00035826,0.001473984,0.002077908,0.002565824,0.00394086,0.006370204,0.009321584,0.010478252,0.012335062,0.01266125,0.012893607,0.01478249,0.015733756,0.017012232,0.016759744,0.017578283,0.0194484,0.020065313,NA
,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.27-12-ALB-QBTU.A,        Nuclear (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
INTL.29-12-ALB-QBTU.A,        Renewables (quad Btu),0.009960041,0.010297843,0.010553754,0.010806253,0.011058751,0.01131125,0.011481857,0.013576912,0.012669282,0.013123097,0.009622239,0.011884489,0.010874495,0.011195237,0.012737525,0.014201333,0.019343431,0.016985641,0.016623954,0.017848913,0.01551842,0.012007326,0.011864016,0.017459929,0.018463098,0.018149181,0.016893513,0.009417511,0.01282624,0.017746549,0.025821382,0.014101699,0.01612544,0.023748506,0.016122369,0.020117987,0.02656011,0.015443353,0.029184047,0.017763609,0.018129732,0.030583025,0.023891816,NA
INTL.33-12-ALB-QBTU.A,            Hydroelectricity (quad Btu),0.009960041,0.010297843,0.010553754,0.010806253,0.011058751,0.01131125,0.011481857,0.013576912,0.012669282,0.013123097,0.009622239,0.011884489,0.010874495,0.011195237,0.012737525,0.014201333,0.019343431,0.016985641,0.016623954,0.017848913,0.01551842,0.012007326,0.011864016,0.017459929,0.018463098,0.018149181,0.016893513,0.009417511,0.01282624,0.017746549,0.025819676,0.014098969,0.016122369,0.023745094,0.016118957,0.020114575,0.026553286,0.015439941,0.029180635,0.017688542,0.01801952,0.030443128,0.023745094,NA
INTL.34-12-ALB-QBTU.A,            Non-hydroelectric renewables (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70607E-06,2.72971E-06,3.07093E-06,3.41214E-06,3.41214E-06,3.41214E-06,6.82428E-06,3.41214E-06,3.41214E-06,7.50671E-05,0.000110212,0.000139898,0.000146722,NA
INTL.35-12-ALB-QBTU.A,                Geothermal (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
INTL.36-12-ALB-QBTU.A,"                Solar, tide, wave, fuel cell (quad Btu)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70607E-06,2.72971E-06,3.07093E-06,3.41214E-06,3.41214E-06,3.41214E-06,6.82428E-06,3.41214E-06,3.41214E-06,7.50671E-05,0.000110212,0.000139898,0.000146722,NA
