"Year","Country","Nuclear...quad.Btu","Total.Renewables...quad.Btu","Hydroelectricity...quad.Btu","Non.hydroelectric.renewables...quad.Btu","Geothermal...quad.Btu","Wind...quad.Btu","Biowaste...quad.Btu","solar...quad.Btu"
1990,"Afghanistan",0,0.002579579,0.002579579,0,0,0,0,0
1990,"Albania",0,0.009622239,0.009622239,0,0,0,0,0
1990,"Algeria",0,0.000457227,0.000457227,0,0,0,0,0
1990,"American Samoa",-1.35525271560688e-20,-1.02999206386123e-18,-1.62630325872826e-19,-2.11758236813575e-22,-1.09476442525376e-47,-8.07793566946316e-28,0,9.18354961579912e-41
1990,"Angola",0,0.002449918,0.002449918,0,0,0,0,0
1990,"Antarctica",-2.16840434497101e-19,8.67361737988404e-19,0,3.3881317890172e-21,1.75162308040602e-46,0,0,0
1990,"Antigua and Barbuda",0,0,0,0,0,0,0,0
1990,"Argentina",0.023987356,0.060725885,0.06038467,0.000341214,0,0,0.000341214,0
1990,"Armenia",0.0179254012585896,0.0373054290239283,0.0375616888600898,-0.000256260582565653,6.3916701920331e-29,4.41168189970993e-09,-0.000256264994247547,5.53210536504284e-22
1990,"Aruba",-1.38777878078145e-17,-6.93889390390723e-18,0,0,2.24207754291971e-44,-1.65436122510606e-24,0,-1.88079096131566e-37
1990,"Australia",0,0.050349562,0.047790456,0.002559106,0,0,0.002559106,0
1990,"Austria",0,0.110413491,0.106387164,0.004026327,1.79366203433577e-43,-6.61744490042422e-24,0.004026327,1.50463276905253e-36
1990,"Azerbaijan",-0.0017406962677325,0.0652661351436344,0.0630782066447528,0.00218792852033144,-3.70749815499708e-27,-2.55900289160663e-07,0.0021881844206203,-3.20890625109393e-20
1990,"Bahrain",0,0,0,0,0,0,0,0
1990,"Bangladesh",0,0.002985624,0.002985624,0,0,0,0,0
1990,"Barbados",0,-2.60208521396521e-18,8.67361737988404e-19,0,0,0,0,-9.62964972193618e-35
1990,"Belarus",0.103344049269895,0.000623138145277654,-0.0011620133807544,0.00178515077834194,2.1497097628791e-25,1.78234300894187e-05,0.00176732734827003,1.86061241509798e-18
1990,"Belgium",0.13848518,0.003388257,0.000897393000000002,0.002490863,9.18354961579912e-41,2.3885e-05,0.002466978,-1.54074395550979e-33
1990,"Belize",0,0.000136486,0,0.000136486,0,0,0.000136486,0
1990,"Benin",0,1.0842021724855e-19,0,3.25260651745651e-19,0,0,-1.0842021724855e-19,0
1990,"Bermuda",0,0,0,0,0,0,0,0
1990,"Bhutan",-8.67361737988404e-19,0.00525811,0.00525811,0,5.87747175411144e-39,0,0,4.93038065763132e-32
1990,"Bolivia",0,0.004340244,0.004231056,0.000109189,0,0,0.000109189,0
1990,"Bosnia and Herzegovina",-0.00196161987924752,-0.220255051715401,-0.216227295469153,-0.00402775549898305,6.47994673785952e-22,-3.0722823726521e-08,-0.00402772472337795,5.60851030117088e-15
1990,"Botswana",0,6.93889390390723e-18,-1.04083408558608e-17,1.35525271560688e-20,0,2.64697796016969e-23,-1.72117094882074e-18,0
1990,"Brazil",0.006605906,0.711431531,0.698264076,0.013167455,0,0,0.013167455,0
1990,"British Virgin Islands",0,1.11022302462516e-16,0,0,-1.50463276905253e-36,0,0,1.26217744835362e-29
1990,"Brunei",0,0,0,0,0,0,0,0
1990,"Bulgaria",0.046159452,0.00634317099999998,0.00634317100000004,0,1.20370621524202e-35,0,0,0
1990,"Burkina Faso",0,3.07093e-05,3.07093e-05,0,0,0,0,0
1990,"Burma",-6.93889390390723e-18,0.004029739,0.004029739,2.71050543121376e-20,-1.92592994438724e-34,-6.46234853557053e-27,0,-1.61558713389263e-27
1990,"Burundi",0,0.000365099,0.000365099,0,0,0,0,0
1990,"Cabo Verde",8.67361737988404e-19,2.81892564846231e-18,-6.50521303491303e-19,-5.42101086242752e-20,0,2.58493941422821e-26,-5.42101086242752e-20,-2.58493941422821e-26
1990,"Cambodia",0,0.000211553,0.000211553,0,0,0,0,0
1990,"Cameroon",-6.93889390390723e-18,0.00890227800000004,0.00890227800000001,8.67361737988404e-19,4.93038065763132e-32,4.13590306276514e-25,-8.67361737988404e-19,-4.13590306276514e-25
1990,"Canada",0.236263511,1.016320034,1.002688528,0.013631506,0,0,0.01354279,0
1990,"Cayman Islands",0,0,0,-3.46944695195361e-18,-7.88860905221012e-31,0,0,6.61744490042422e-24
1990,"Central African Republic",0,0.000259323,0.000259323,0,0,0,0,0
1990,"Chad",-6.93889390390723e-18,-5.74627151417317e-18,-5.74627151417317e-18,0,6.31088724176809e-30,5.29395592033938e-23,0,-5.29395592033938e-23
1990,"Chile",0,0.043726595,0.040440703,0.003285892,0,0,0.003285892,0
1990,"China",0,0.426995404,0.426981755,1.36485999999996e-05,0,6.82428e-06,-8.67361737988404e-19,6.82428e-06
1990,"Colombia",0,0.093908962,0.092974035,0.000934927,0,0,0.000934927,0
1990,"Comoros",0,6.82427999999791e-06,6.82427999997015e-06,0,1.61558713389263e-27,0,0,-8.470329472543e-22
1990,"Congo-Brazzaville",0,0.001654889,0.001654889,0,0,0,0,0
1990,"Congo-Kinshasa",-3.3881317890172e-21,0.019002217,0.019002217,0,2.58493941422821e-26,-1.05879118406788e-22,0,-5.29395592033938e-23
1990,"Cook Islands",0,0,0,0,0,0,0,0
1990,"Costa Rica",-2.11758236813575e-22,0.01142385,0.01142385,-2.71050543121376e-20,0,8.470329472543e-22,2.71050543121376e-20,-2.64697796016969e-23
1990,"Cote d'Ivoire",0,0.004466493,0.004466493,0,0,0,0,0
1990,"Croatia",3.77195733111122e-08,0.0032991490702207,-0.000401007936895731,0.00370015699955203,3.85466459942861e-08,8.37344828301204e-05,0.00361363935719091,2.74459063957013e-06
1990,"Cuba",5.29395592033938e-23,0.005295644,0.000351451000000004,0.004944193,1.32348898008484e-23,-2.71050543121376e-20,0.004944193,0
1990,"Cyprus",0,0,0,0,0,0,0,0
1990,"Czechia",8.52404940833559e-11,0.000829918605719994,-7.40174784101471e-05,0.000903935941018931,5.9821456891075e-07,0.00155968334830744,-0.000707482317384662,5.11365450029873e-05
1990,"Denmark",-1.65436122510606e-24,0.002958327,9.21278000000001e-05,0.002866199,2.11758236813575e-22,0.002081406,0.00071655,6.82428e-05
1990,"Djibouti",0,0,0,0,0,0,0,0
1990,"Dominica",3.30872245021211e-24,5.45942999999999e-05,5.45943000000001e-05,0,0,-2.16840434497101e-19,0,6.7762635780344e-21
1990,"Dominican Republic",0,0.001422863,0.001334147,8.87157e-05,0,0,8.87157e-05,0
1990,"Ecuador",5.29395592033938e-23,0.016845743,0.016845743,-2.71050543121376e-20,-1.35525271560688e-20,-1.35525271560688e-20,0,0
1990,"Egypt",0,0.03369524,0.033694899,3.41e-07,0,0,0,3.41e-07
1990,"El Salvador",0,0.00636705600000001,0.004865714,0.001501342,0.001429687,-1.6940658945086e-21,7.1655e-05,0
1990,"Equatorial Guinea",0,6.82428e-06,6.82428e-06,0,0,0,0,0
1990,"Eritrea",-0.000124409512287246,-0.0002528676175413,0.000620819857727026,-0.000873687479820805,-0.000804430481765121,-3.46491757438116e-07,-6.89368196216441e-05,4.00500495940339e-08
1990,"Estonia",-0.00020823373194692,-0.00120638020938198,-0.00065272222703896,-0.000553657986503934,-0.000480613932761153,-2.07012539790822e-07,-7.28379769735736e-05,2.3927945807097e-08
1990,"Eswatini",0,0.000518645999999998,0.000518646,-1.30104260698261e-18,0,3.17637355220363e-22,0,0
1990,"Ethiopia",0,0.00371241,0.00371241,0,0,0,0,0
1990,"Falkland Islands",2.16840434497101e-19,8.67361737988404e-19,-4.33680868994202e-19,0,0,3.30872245021211e-24,0,0
1990,"Faroe Islands",0,0.000252498,0.000252498,0,0,0,0,0
1990,"Fiji",3.46944695195361e-18,0.001368269,0.001300026,6.82427999999999e-05,0,0,6.82427999999999e-05,-5.16987882845642e-26
1990,"Finland",0.062288646,0.054273525,0.036680523,0.017593002,0,0,0.017593002,0
1990,"Former Czechoslovakia",0.079844114,0.013372183,0.013372183,-3.46944695195361e-18,0,0,0,6.46234853557053e-27
1990,"Former Serbia and Montenegro",0.632957598714236,0.575167267032408,0.579970693668581,-0.00480342605674835,6.87591905225293e-05,5.73386912597131e-09,-0.00501562180395934,7.89161730005189e-11
1990,"Former U.S.S.R.",0.686885983,0.787170838,0.787078711,9.21277999999942e-05,9.21278e-05,0,6.93889390390723e-18,0
1990,"Former Yugoslavia",0.014982714,0.066881388,0.066881388,0,0,0,0,0
1990,"France",1.018104584,0.187432352,0.18014743,0.007284922,0,1.32348898008484e-23,0.005568615,1.03397576569128e-25
1990,"French Guiana",0,0,0,0,0,0,0,0
1990,"French Polynesia",0,0.000235438000000004,0.000235438000000004,-8.67361737988404e-19,0,1.05879118406788e-22,1.73472347597681e-18,1.65436122510606e-24
1990,"Gabon",0,0.002391911,0.002381675,1.02364e-05,0,0,1.02364e-05,0
1990,"Gambia, The",1.38777878078145e-17,1.73472347597681e-18,2.16840434497101e-18,2.5410988417629e-20,0,1.6940658945086e-21,2.5410988417629e-20,5.29395592033938e-23
1990,"Georgia",-0.138961388616754,-0.018243243628756,-0.0127517886746831,-0.00549145484066434,4.45452445060149e-08,-8.13948644747546e-05,-0.0054275055865884,-1.14702784609581e-06
1990,"Germany",-0.24058105922782,-0.0305186573138921,-0.0212476433775197,-0.00927101350484897,1.29059947765229e-08,-0.000136236819209477,-0.00914395135605893,-1.91986836432106e-06
1990,"Germany, East",0.018183303,0.004739465,0.004739465,-3.90312782094782e-18,1.19114008207636e-22,0,7.80625564189563e-18,0
1990,"Germany, West",0.477068582,0.070361773,0.053806061,0.016555711,0,0.000242262,0.016310037,3.41214e-06
1990,"Ghana",5.55111512312578e-17,0.01932637,0.01932637,-3.46944695195361e-18,2.64697796016969e-23,0,0,-4.2351647362715e-22
1990,"Gibraltar",0,0,0,0,0,0,0,0
1990,"Greece",0,0.005981484,0.00597466,6.82428000000007e-06,-2.11758236813575e-22,6.82428000000001e-06,4.33680868994202e-19,0
1990,"Greenland",0,0,0,0,0,0,0,0
1990,"Grenada",0,8.67361737988404e-19,0,0,0,2.11758236813575e-22,2.71050543121376e-20,0
1990,"Guadeloupe",0,0.000102364,0,0.000102364,0.000102364,0,0,0
1990,"Guam",0,-6.23416249179165e-19,2.16840434497101e-19,0,0,-2.64697796016969e-23,-5.42101086242752e-20,0
1990,"Guatemala",0,0.008226673,0.007254213,0.00097246,0,0,0.00097246,0
1990,"Guinea",0,0.000590301000000001,0.000590301,0,0,1.65436122510606e-24,1.0842021724855e-19,0
1990,"Guinea-Bissau",0,0,0,0,0,0,0,0
1990,"Guyana",0,1.70607e-05,1.70607e-05,-2.71050543121376e-20,0,-6.61744490042422e-24,0,-3.23117426778526e-27
1990,"Haiti",0,0.001255668,0.001201074,5.45943e-05,0,0,5.45943e-05,0
1990,"Hawaiian Trade Zone",0.0038346012723971,0.00736450426300274,0.00733660841452544,2.78960946634467e-05,-2.90240847666626e-05,6.55139403598548e-07,5.62650085870395e-05,3.13620254927226e-11
1990,"Honduras",-3.46944695195361e-18,0.007049485,0.007049485,2.03287907341032e-20,0,0,-6.7762635780344e-21,2.58493941422821e-26
1990,"Hong Kong",0,0,0,0,0,0,0,0
1990,"Hungary",0.044507975,0.00071655,0.000600537000000003,0.000116013,5.42101086242752e-20,0,0.000116013,-5.16987882845642e-26
1990,"Iceland",0,0.015224976,0.014201333,0.001023642,0.001023642,0,0,0
1990,"India",0.019145527,0.242163104,0.242053915,0.000109189,0,0.000109189,1.35525271560688e-20,8.27180612553028e-25
1990,"Indonesia",0,0.026583995,0.022745336,0.003838659,0.003838659,0,0,0
1990,"Iran",3.46944695195361e-18,0.020547917,0.020547917,0,8.67361737988404e-19,0,3.3881317890172e-21,-1.32348898008484e-23
1990,"Iraq",0,0.002060934,0.002060934,0,0,0,0,0
1990,"Ireland",8.67361737988404e-19,0.00235437799999999,0.002354378,0,0,0,-2.71050543121376e-20,0
1990,"Israel",0,1.02364e-05,1.02364e-05,0,0,0,0,0
